date,l_ipn,f,rolling_mean,rolling_std,upper_limit,anomaly,lag_1,lag_3,lag_7,pct_change,rolling_max,rolling_min,momentum,deviation_from_mean,z_score,anomaly_int,consecutive_anomalies,day_of_week,is_weekend,anomaly_isoforest,risk_score
2006-07-15,9,9,495.57142857142856,850.5358814972394,2196.6431915659073,False,5.0,118.0,1758.0,0.8,2169.0,5.0,4.0,-486.57142857142856,-0.5720763032291246,0,0.0,5,1,0,0.4002267061301936
2006-07-16,9,6,495.7142857142857,850.4398301831266,2196.593946080539,False,9.0,5.0,5.0,-0.33333333333333337,2169.0,5.0,-3.0,-489.7142857142857,-0.5758364819889373,0,0.0,6,1,0,0.2848761020294614
2006-07-17,9,4,186.42857142857142,430.4613250699218,1047.351221568415,False,6.0,5.0,2169.0,-0.33333333333333337,1158.0,4.0,-2.0,-182.42857142857142,-0.4237978107811674,0,0.0,0,0,0,0.23166256710674193
2006-07-18,9,1000,163.85714285714286,371.0711650395515,905.9994729362459,True,4.0,9.0,1158.0,249.0,1000.0,4.0,996.0,836.1428571428571,2.253322040047263,1,1.0,1,0,1,63.43866271401654
2006-07-19,9,4378,772.4285714285714,1632.510628565999,4037.4498285605696,True,1000.0,6.0,118.0,3.378,4378.0,4.0,3378.0,3605.5714285714284,2.2086051651942498,1,2.0,2,0,1,2.2675118078179874
2006-07-20,9,338,820.0,1611.1324174836368,4042.2648349672736,False,4378.0,4.0,5.0,-0.9227957971676565,4378.0,4.0,-4040.0,-482.0,-0.29916845553957133,0,2.0,3,0,0,0.8354079087307641
2006-07-21,9,3598,1333.2857142857142,1861.1514996802127,5055.58871364614,False,338.0,1000.0,5.0,9.644970414201184,4378.0,4.0,3260.0,2264.714285714286,1.2168349937847962,0,1.0,4,0,0,3.087134851374975
2006-07-22,9,6,1332.857142857143,1861.5075815560024,5055.872305969147,False,3598.0,4378.0,9.0,-0.9983324068927182,4378.0,4.0,-3592.0,-1326.857142857143,-0.7127863183990809,0,0.0,5,1,0,0.49905831316285787
2006-07-23,9,5,1332.7142857142858,1861.626413854806,5055.967113423898,False,6.0,338.0,6.0,-0.16666666666666663,4378.0,4.0,-1.0,-1327.7142857142858,-0.7132012463408385,0,0.0,6,1,0,0.2912871028859601
2006-07-24,9,2637,1708.857142857143,1813.7995505357833,5336.456243928709,False,5.0,3598.0,4.0,526.4,4378.0,5.0,2632.0,928.1428571428571,0.5117119208412921,0,0.0,0,0,0,131.77909917229445
2006-07-25,9,2792,1964.857142857143,1823.5122180900817,5611.881579037306,False,2637.0,6.0,1000.0,0.05877891543420555,4378.0,5.0,155.0,827.1428571428571,0.4535987444455986,0,0.0,1,0,0,0.17345428941451088
2006-07-26,9,2912,1755.4285714285713,1566.2045265697643,4887.8376245681,False,2792.0,5.0,4378.0,0.042979942693409656,3598.0,5.0,120.0,1156.5714285714287,0.7384549090277206,0,0.0,2,0,0,0.2692042038330546
2006-07-27,9,1734,1954.857142857143,1439.3825561181236,4833.62225509339,False,2912.0,2637.0,338.0,-0.40453296703296704,3598.0,5.0,-1178.0,-220.8571428571429,-0.15343880637152177,0,0.0,3,0,0,0.15483682398827436
2006-07-28,9,1651,1676.7142857142858,1243.7711089378834,4164.2565035900525,False,1734.0,2792.0,3598.0,-0.047866205305651666,2912.0,5.0,-83.0,-25.71428571428578,-0.020674451531118087,0,0.0,4,0,0,0.019202609362304245
2006-07-29,9,1494,1889.2857142857142,1017.1521869556057,3923.5900881969255,False,1651.0,2912.0,6.0,-0.09509388249545725,2912.0,5.0,-157.0,-395.2857142857142,-0.38862002704101395,0,0.0,5,1,0,0.1597904800882192
2006-07-30,9,9,1889.857142857143,1015.9175538351901,3921.6922505275234,False,1494.0,1734.0,5.0,-0.9939759036144579,2912.0,9.0,-1485.0,-1880.857142857143,-1.851387563137229,0,0.0,6,1,0,0.8964796230016445
2006-07-31,9,2954,1935.142857142857,1060.8450135892344,4056.8328843213258,False,9.0,1651.0,2637.0,327.22222222222223,2954.0,9.0,2945.0,1018.8571428571429,0.9604203443496102,0,0.0,0,0,1,82.29170267607793
2006-08-01,9,1349,1729.0,1005.3397435693073,3739.6794871386146,False,2954.0,1494.0,2792.0,-0.543331076506432,2954.0,9.0,-1605.0,-380.0,-0.3779816710230221,0,0.0,1,0,0,0.2681263539846657
2006-08-02,9,3782,1853.2857142857142,1209.0932848331313,4271.472283951976,False,1349.0,9.0,2912.0,1.80355819125278,3782.0,9.0,2433.0,1928.7142857142858,1.5951740812361965,0,0.0,2,0,0,1.0092004762458637
2006-08-03,9,1352,1798.7142857142858,1223.9043691244447,4246.523023963175,False,3782.0,2954.0,1734.0,-0.6425171866737176,3782.0,9.0,-2430.0,-446.7142857142858,-0.3649911654322667,0,0.0,3,0,0,0.28837620456972274
2006-08-04,9,1622,1794.5714285714287,1224.5366276191794,4243.644683809787,False,1352.0,1349.0,1651.0,0.1997041420118344,3782.0,9.0,270.0,-172.57142857142867,-0.1409279422679854,0,0.0,4,0,0,0.09925081529675349
2006-08-05,9,939,1715.2857142857142,1264.5549565342105,4244.395627354135,False,1622.0,3782.0,1494.0,-0.42108508014796553,3782.0,9.0,-683.0,-776.2857142857142,-0.6138805625929373,0,0.0,5,1,0,0.32012946694451944
2006-08-06,9,4,1714.5714285714287,1265.6802989094915,4245.932026390412,False,939.0,1352.0,9.0,-0.9957401490947817,3782.0,4.0,-935.0,-1710.5714285714287,-1.3515035483527864,0,0.0,6,1,0,0.7219612791971706
2006-08-07,9,1219,1466.7142857142858,1146.811189674179,3760.336665062644,False,4.0,1622.0,2954.0,303.75,3782.0,4.0,1215.0,-247.71428571428578,-0.21600267401004103,0,0.0,0,0,0,76.01310093590351
